SNo,Year,State_UT,City,Road_Classification,Mode_of_Transport,Total_Accidents,Persons_Injured,Persons_Killed,Accident_Cause,Time_of_Accident,Road_Condition,Light_Condition,Weather_Condition,Injury_Severity,Junction_Type,Source
734,2022,Mizoram,Mizoram,City Roads,Others,5536,6101,1211,Fatigue/Sleep,09:00-12:00,Flooded,Dark - No Street Light,Clear,Grievous Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
735,2023,Lakshadweep,Lakshadweep,National Highway,Car/Jeep/Taxi,7392,11373,1086,Tyre Burst,15:00-18:00,Potholed,Daylight,Foggy,Minor Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
736,2020,Andhra Pradesh,Visakhapatnam,National Highway,Two-Wheeler,2522,6017,412,Wrong Side Driving,18:00-21:00,Flooded,Dark - Street Light On,Rainy,Grievous Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
737,2022,Telangana,Hyderabad,Other Roads,Bicycle,879,1873,70,Over Speeding,21:00-24:00,Under Repair,Dusk/Dawn,Misty,No Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
738,2020,Tamil Nadu,Salem,City Roads,Truck/Lorry,10088,19584,2413,Bad Road Condition,12:00-15:00,Under Repair,Dusk/Dawn,Foggy,No Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
739,2020,Ladakh,Ladakh,Expressway,Pedestrian,9737,18063,1571,Bad Road Condition,21:00-24:00,Dry,Dusk/Dawn,Foggy,Grievous Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
740,2021,Daman & Diu,Daman & Diu,Expressway,Two-Wheeler,8705,21556,1874,Over Speeding,21:00-24:00,Under Repair,Dusk/Dawn,Rainy,Minor Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
741,2023,Punjab,Ludhiana,State Highway,Car/Jeep/Taxi,10434,9443,1578,Tyre Burst,06:00-09:00,Flooded,Dark - No Street Light,Cloudy,Grievous Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
742,2021,Gujarat,Ahmedabad,City Roads,Bicycle,4098,5032,654,Vehicle Defect,18:00-21:00,Potholed,Dusk/Dawn,Misty,No Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
743,2020,Arunachal Pradesh,Arunachal Pradesh,National Highway,Truck/Lorry,1756,1568,245,Jumping Red Light,18:00-21:00,Under Repair,Dark - No Street Light,Rainy,Minor Injury,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
744,2021,Maharashtra,Mumbai,National Highway,Bicycle,6963,6989,2087,Drunk Driving,18:00-21:00,Under Repair,Dark - Street Light On,Foggy,Grievous Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
745,2019,Dadra & Nagar Haveli,Dadra & Nagar Haveli,Other Roads,Two-Wheeler,8558,11042,995,Bad Road Condition,15:00-18:00,Under Repair,Dark - Street Light On,Foggy,Grievous Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
746,2023,Lakshadweep,Lakshadweep,State Highway,Auto-Rickshaw,5815,7566,1150,Bad Road Condition,00:00-06:00,Under Repair,Dark - No Street Light,Misty,Grievous Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
747,2019,Delhi,South Delhi,State Highway,Two-Wheeler,7222,16240,1603,Vehicle Defect,00:00-06:00,Flooded,Dark - No Street Light,Clear,Grievous Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
748,2023,Uttar Pradesh,Allahabad,Other Roads,Auto-Rickshaw,10716,25041,2483,Use of Mobile Phone,06:00-09:00,Under Repair,Dusk/Dawn,Foggy,Grievous Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
749,2023,Jharkhand,Jharkhand,National Highway,Bus,208,398,45,Over Speeding,12:00-15:00,Dry,Dark - No Street Light,Clear,Minor Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
750,2019,Andhra Pradesh,Tirupati,Other Roads,Car/Jeep/Taxi,11607,21738,1377,Over Speeding,21:00-24:00,Under Repair,Daylight,Misty,Grievous Injury,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
751,2021,Uttarakhand,Uttarakhand,State Highway,Auto-Rickshaw,8400,6944,1422,Improper Lane Changing,15:00-18:00,Dry,Dusk/Dawn,Rainy,No Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
752,2020,Tamil Nadu,Chennai,National Highway,Pedestrian,4325,6489,830,Improper Lane Changing,00:00-06:00,Wet,Dark - No Street Light,Cloudy,Minor Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
753,2023,Kerala,Kozhikode,Other Roads,Others,225,221,62,Poor Weather Visibility,06:00-09:00,Under Repair,Daylight,Misty,Grievous Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
754,2021,Goa,Goa,Expressway,Others,3068,6732,784,Poor Weather Visibility,00:00-06:00,Wet,Dark - No Street Light,Clear,Fatal,No Junction,data.gov.in - Ministry of Road Transport & Highways
755,2022,Arunachal Pradesh,Arunachal Pradesh,State Highway,Truck/Lorry,9879,17651,1351,Drunk Driving,00:00-06:00,Potholed,Dark - Street Light On,Clear,Minor Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
756,2020,Maharashtra,Aurangabad,Other Roads,Auto-Rickshaw,8502,17524,2574,Over Speeding,06:00-09:00,Wet,Daylight,Cloudy,No Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
757,2022,Dadra & Nagar Haveli,Dadra & Nagar Haveli,Expressway,Bus,1985,3953,231,Drunk Driving,18:00-21:00,Flooded,Dark - No Street Light,Rainy,Grievous Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
758,2023,Chhattisgarh,Bilaspur,State Highway,Bicycle,5459,13144,325,Bad Road Condition,18:00-21:00,Dry,Dark - Street Light On,Clear,Minor Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
759,2023,West Bengal,Kolkata,National Highway,Truck/Lorry,8050,12892,521,Vehicle Defect,15:00-18:00,Wet,Daylight,Rainy,No Injury,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
760,2021,Bihar,Bhagalpur,National Highway,Car/Jeep/Taxi,3589,4132,481,Use of Mobile Phone,09:00-12:00,Flooded,Dark - No Street Light,Clear,Grievous Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
761,2023,Gujarat,Ahmedabad,Other Roads,Two-Wheeler,388,443,84,Bad Road Condition,06:00-09:00,Potholed,Dark - Street Light On,Cloudy,Minor Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
762,2019,Bihar,Bhagalpur,State Highway,Truck/Lorry,351,857,35,Fatigue/Sleep,12:00-15:00,Under Repair,Daylight,Cloudy,Fatal,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
763,2021,Nagaland,Nagaland,Expressway,Two-Wheeler,7884,8519,2589,Fatigue/Sleep,15:00-18:00,Flooded,Dusk/Dawn,Rainy,Fatal,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
764,2020,Mizoram,Mizoram,Other Roads,Auto-Rickshaw,758,1184,135,Jumping Red Light,00:00-06:00,Flooded,Dark - No Street Light,Rainy,Grievous Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
765,2019,West Bengal,Kolkata,Other Roads,Pedestrian,8818,10726,2846,Wrong Side Driving,15:00-18:00,Wet,Dark - Street Light On,Foggy,Minor Injury,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
766,2023,Manipur,Manipur,National Highway,Car/Jeep/Taxi,4166,4492,515,Wrong Side Driving,15:00-18:00,Potholed,Dark - No Street Light,Foggy,Grievous Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
767,2022,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Other Roads,Car/Jeep/Taxi,8066,17051,1393,Poor Weather Visibility,09:00-12:00,Flooded,Dark - No Street Light,Cloudy,Minor Injury,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
768,2019,Himachal Pradesh,Himachal Pradesh,State Highway,Others,9293,16722,2578,Drunk Driving,00:00-06:00,Potholed,Daylight,Foggy,Minor Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
769,2022,Gujarat,Rajkot,Other Roads,Auto-Rickshaw,4114,8203,1336,Wrong Side Driving,18:00-21:00,Under Repair,Dark - Street Light On,Foggy,Fatal,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
770,2019,Tripura,Tripura,City Roads,Bus,10811,9599,809,Jumping Red Light,18:00-21:00,Dry,Daylight,Clear,No Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
771,2022,Goa,Goa,National Highway,Two-Wheeler,2350,3569,405,Poor Weather Visibility,18:00-21:00,Potholed,Daylight,Misty,Minor Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
772,2020,Andaman & Nicobar Islands,Andaman & Nicobar Islands,State Highway,Auto-Rickshaw,835,2039,270,Tyre Burst,00:00-06:00,Flooded,Dusk/Dawn,Foggy,Minor Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
773,2021,Maharashtra,Nashik,Other Roads,Auto-Rickshaw,11903,14835,3903,Improper Lane Changing,15:00-18:00,Under Repair,Dark - Street Light On,Cloudy,Fatal,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
774,2019,Tripura,Tripura,State Highway,Car/Jeep/Taxi,4204,8817,767,Jumping Red Light,00:00-06:00,Potholed,Dark - No Street Light,Clear,Minor Injury,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
775,2023,Arunachal Pradesh,Arunachal Pradesh,Expressway,Pedestrian,4044,3418,1074,Tyre Burst,06:00-09:00,Under Repair,Dark - No Street Light,Cloudy,No Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
776,2023,Daman & Diu,Daman & Diu,Expressway,Others,3625,4399,965,Bad Road Condition,00:00-06:00,Dry,Dark - No Street Light,Rainy,No Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
777,2022,Sikkim,Sikkim,City Roads,Auto-Rickshaw,9036,12876,671,Drunk Driving,21:00-24:00,Dry,Daylight,Foggy,No Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
778,2021,Maharashtra,Nashik,Expressway,Others,80,140,17,Drunk Driving,15:00-18:00,Flooded,Dusk/Dawn,Clear,Minor Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
779,2022,Telangana,Karimnagar,City Roads,Two-Wheeler,3261,8006,961,Jumping Red Light,21:00-24:00,Flooded,Dark - Street Light On,Cloudy,Minor Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
780,2022,Ladakh,Ladakh,Other Roads,Bicycle,8252,11351,2685,Poor Weather Visibility,12:00-15:00,Flooded,Dark - Street Light On,Rainy,Grievous Injury,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
781,2022,Himachal Pradesh,Himachal Pradesh,Expressway,Bicycle,259,258,29,Improper Lane Changing,12:00-15:00,Under Repair,Dark - Street Light On,Rainy,Fatal,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
782,2023,Rajasthan,Udaipur,Expressway,Bicycle,5436,4937,1149,Over Speeding,18:00-21:00,Flooded,Dark - No Street Light,Misty,Grievous Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
783,2021,Delhi,North Delhi,State Highway,Car/Jeep/Taxi,10484,11004,629,Over Speeding,12:00-15:00,Under Repair,Dusk/Dawn,Rainy,No Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
784,2019,Kerala,Kochi,City Roads,Two-Wheeler,5420,5075,1491,Jumping Red Light,00:00-06:00,Under Repair,Dark - No Street Light,Clear,No Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
785,2020,Daman & Diu,Daman & Diu,Other Roads,Car/Jeep/Taxi,9048,10604,3095,Improper Lane Changing,15:00-18:00,Under Repair,Dark - No Street Light,Foggy,Grievous Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
786,2022,Karnataka,Bengaluru,State Highway,Car/Jeep/Taxi,10342,24272,1809,Drunk Driving,18:00-21:00,Potholed,Daylight,Misty,Fatal,No Junction,data.gov.in - Ministry of Road Transport & Highways
787,2020,Karnataka,Hubli,National Highway,Pedestrian,241,394,23,Drunk Driving,09:00-12:00,Potholed,Dusk/Dawn,Misty,Grievous Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
788,2020,Puducherry,Puducherry,Other Roads,Pedestrian,3116,4682,870,Wrong Side Driving,12:00-15:00,Potholed,Dusk/Dawn,Cloudy,Grievous Injury,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
789,2023,Nagaland,Nagaland,Other Roads,Truck/Lorry,5999,7565,1668,Poor Weather Visibility,15:00-18:00,Under Repair,Dark - No Street Light,Rainy,No Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
790,2023,Tripura,Tripura,Expressway,Bus,6958,7350,1786,Drunk Driving,12:00-15:00,Wet,Dark - Street Light On,Clear,Grievous Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
791,2021,Sikkim,Sikkim,City Roads,Car/Jeep/Taxi,9221,17155,2806,Vehicle Defect,09:00-12:00,Wet,Dark - Street Light On,Misty,Fatal,No Junction,data.gov.in - Ministry of Road Transport & Highways
792,2023,Sikkim,Sikkim,National Highway,Bus,7966,17791,817,Wrong Side Driving,15:00-18:00,Wet,Dark - No Street Light,Misty,Fatal,T-Junction,data.gov.in - Ministry of Road Transport & Highways
793,2021,Maharashtra,Pune,City Roads,Car/Jeep/Taxi,1413,2912,289,Over Speeding,21:00-24:00,Wet,Dark - No Street Light,Foggy,Fatal,No Junction,data.gov.in - Ministry of Road Transport & Highways
794,2022,Karnataka,Hubli,Other Roads,Two-Wheeler,6483,13384,2087,Tyre Burst,00:00-06:00,Dry,Daylight,Rainy,Grievous Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
795,2022,West Bengal,Howrah,Expressway,Bicycle,10575,13865,3244,Poor Weather Visibility,06:00-09:00,Under Repair,Dusk/Dawn,Clear,No Injury,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
796,2021,Karnataka,Hubli,City Roads,Bicycle,3790,6708,377,Jumping Red Light,06:00-09:00,Potholed,Dusk/Dawn,Clear,No Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
797,2019,Tamil Nadu,Salem,Other Roads,Bicycle,8447,16595,2137,Vehicle Defect,18:00-21:00,Dry,Dark - No Street Light,Clear,Grievous Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
798,2019,Rajasthan,Jaipur,City Roads,Bicycle,9980,23458,1843,Vehicle Defect,18:00-21:00,Wet,Daylight,Rainy,Fatal,No Junction,data.gov.in - Ministry of Road Transport & Highways
799,2023,Daman & Diu,Daman & Diu,City Roads,Truck/Lorry,7387,7604,1516,Over Speeding,06:00-09:00,Wet,Dark - Street Light On,Clear,Fatal,No Junction,data.gov.in - Ministry of Road Transport & Highways
800,2020,Jammu & Kashmir,Jammu,City Roads,Bicycle,9395,22969,1900,Tyre Burst,06:00-09:00,Wet,Dusk/Dawn,Cloudy,Fatal,Roundabout,data.gov.in - Ministry of Road Transport & Highways
801,2020,Kerala,Kochi,Other Roads,Truck/Lorry,6791,6655,1942,Fatigue/Sleep,21:00-24:00,Wet,Dark - Street Light On,Clear,No Injury,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
802,2021,Karnataka,Mangaluru,State Highway,Two-Wheeler,5301,10639,1130,Over Speeding,21:00-24:00,Under Repair,Daylight,Clear,Grievous Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
803,2020,Meghalaya,Meghalaya,City Roads,Auto-Rickshaw,5984,14159,1427,Drunk Driving,06:00-09:00,Flooded,Dark - Street Light On,Rainy,Minor Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
804,2019,Telangana,Warangal,State Highway,Bicycle,9566,9383,2618,Poor Weather Visibility,18:00-21:00,Under Repair,Dusk/Dawn,Cloudy,Grievous Injury,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
805,2022,Tripura,Tripura,Other Roads,Pedestrian,2541,5679,336,Drunk Driving,18:00-21:00,Flooded,Dark - Street Light On,Foggy,No Injury,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
806,2020,Bihar,Bhagalpur,Other Roads,Pedestrian,3812,3627,342,Bad Road Condition,09:00-12:00,Wet,Dusk/Dawn,Foggy,No Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
807,2020,Andhra Pradesh,Tirupati,Other Roads,Auto-Rickshaw,2574,3769,395,Over Speeding,00:00-06:00,Under Repair,Dark - No Street Light,Rainy,No Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
808,2020,Madhya Pradesh,Indore,State Highway,Auto-Rickshaw,4070,6259,575,Drunk Driving,00:00-06:00,Dry,Dusk/Dawn,Rainy,Grievous Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
809,2022,Lakshadweep,Lakshadweep,City Roads,Others,4805,6221,584,Tyre Burst,06:00-09:00,Dry,Dark - Street Light On,Clear,Grievous Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
810,2019,Uttarakhand,Uttarakhand,State Highway,Pedestrian,10793,19958,1939,Wrong Side Driving,00:00-06:00,Wet,Dusk/Dawn,Rainy,Grievous Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
811,2021,Jammu & Kashmir,Jammu,Other Roads,Two-Wheeler,9492,10859,3135,Wrong Side Driving,12:00-15:00,Dry,Dark - Street Light On,Clear,No Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
812,2022,Dadra & Nagar Haveli,Dadra & Nagar Haveli,Expressway,Bicycle,6684,5649,712,Improper Lane Changing,12:00-15:00,Under Repair,Dark - No Street Light,Foggy,Fatal,No Junction,data.gov.in - Ministry of Road Transport & Highways
813,2023,Karnataka,Mangaluru,City Roads,Two-Wheeler,5860,12305,952,Wrong Side Driving,15:00-18:00,Dry,Dark - Street Light On,Clear,Grievous Injury,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
814,2023,Uttar Pradesh,Lucknow,City Roads,Car/Jeep/Taxi,10322,12997,1822,Use of Mobile Phone,18:00-21:00,Flooded,Dark - No Street Light,Misty,Grievous Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
815,2019,Jharkhand,Jharkhand,State Highway,Others,9029,17097,1543,Use of Mobile Phone,00:00-06:00,Flooded,Dark - No Street Light,Misty,No Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
816,2023,Haryana,Rohtak,National Highway,Others,2262,4900,571,Drunk Driving,15:00-18:00,Potholed,Dark - No Street Light,Clear,No Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
817,2022,Kerala,Kozhikode,Expressway,Auto-Rickshaw,112,236,10,Wrong Side Driving,21:00-24:00,Under Repair,Dark - No Street Light,Misty,Minor Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
818,2023,Jharkhand,Jharkhand,National Highway,Bicycle,676,1062,37,Use of Mobile Phone,15:00-18:00,Potholed,Dusk/Dawn,Foggy,Grievous Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
819,2022,Arunachal Pradesh,Arunachal Pradesh,Expressway,Car/Jeep/Taxi,1589,2345,146,Jumping Red Light,21:00-24:00,Under Repair,Dark - No Street Light,Foggy,Minor Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
820,2021,Delhi,Central Delhi,National Highway,Auto-Rickshaw,5836,12948,1329,Bad Road Condition,09:00-12:00,Under Repair,Dark - Street Light On,Rainy,Fatal,T-Junction,data.gov.in - Ministry of Road Transport & Highways
821,2020,Chhattisgarh,Bilaspur,Expressway,Others,7737,11503,2025,Wrong Side Driving,12:00-15:00,Wet,Dusk/Dawn,Foggy,No Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
822,2021,Meghalaya,Meghalaya,Other Roads,Two-Wheeler,1140,1582,376,Drunk Driving,06:00-09:00,Under Repair,Dusk/Dawn,Rainy,Fatal,Roundabout,data.gov.in - Ministry of Road Transport & Highways
823,2022,Jharkhand,Jharkhand,Other Roads,Others,2950,2524,879,Improper Lane Changing,06:00-09:00,Dry,Daylight,Cloudy,No Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
824,2019,Nagaland,Nagaland,State Highway,Two-Wheeler,4882,5651,1547,Tyre Burst,18:00-21:00,Under Repair,Dark - No Street Light,Clear,Minor Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
825,2023,Madhya Pradesh,Bhopal,State Highway,Auto-Rickshaw,1005,2019,337,Jumping Red Light,21:00-24:00,Wet,Dark - Street Light On,Foggy,Fatal,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
826,2021,Arunachal Pradesh,Arunachal Pradesh,State Highway,Bicycle,1403,1503,457,Over Speeding,21:00-24:00,Dry,Dusk/Dawn,Rainy,Grievous Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
827,2021,Haryana,Faridabad,Other Roads,Others,8983,17148,2603,Jumping Red Light,12:00-15:00,Flooded,Dusk/Dawn,Rainy,Grievous Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
828,2019,Chhattisgarh,Durg,State Highway,Bicycle,3226,6063,694,Jumping Red Light,18:00-21:00,Under Repair,Daylight,Misty,Grievous Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
829,2021,Bihar,Muzaffarpur,Expressway,Others,9476,15520,877,Bad Road Condition,15:00-18:00,Wet,Dark - Street Light On,Misty,Minor Injury,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
830,2020,Daman & Diu,Daman & Diu,Other Roads,Pedestrian,7228,12287,1286,Over Speeding,21:00-24:00,Dry,Dusk/Dawn,Foggy,Grievous Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
831,2023,Punjab,Ludhiana,Other Roads,Others,1071,1919,143,Use of Mobile Phone,09:00-12:00,Under Repair,Daylight,Cloudy,Fatal,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
832,2022,Andaman & Nicobar Islands,Andaman & Nicobar Islands,City Roads,Bicycle,11679,10129,3097,Improper Lane Changing,00:00-06:00,Flooded,Dark - No Street Light,Cloudy,No Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
833,2019,Haryana,Gurgaon,City Roads,Two-Wheeler,4070,7800,528,Over Speeding,21:00-24:00,Wet,Dark - No Street Light,Foggy,Grievous Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
834,2020,Tripura,Tripura,City Roads,Car/Jeep/Taxi,7789,17598,2338,Poor Weather Visibility,06:00-09:00,Wet,Dark - Street Light On,Clear,Grievous Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
835,2019,Assam,Silchar,State Highway,Car/Jeep/Taxi,5449,12415,1701,Tyre Burst,00:00-06:00,Potholed,Dark - No Street Light,Clear,Grievous Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
836,2023,Odisha,Bhubaneswar,State Highway,Two-Wheeler,5815,9374,1723,Tyre Burst,00:00-06:00,Under Repair,Daylight,Misty,Grievous Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
837,2020,Goa,Goa,Expressway,Auto-Rickshaw,9721,8280,2585,Bad Road Condition,18:00-21:00,Dry,Dark - No Street Light,Clear,Grievous Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
838,2020,Rajasthan,Kota,State Highway,Auto-Rickshaw,509,794,70,Wrong Side Driving,06:00-09:00,Flooded,Dark - No Street Light,Clear,Grievous Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
839,2022,Mizoram,Mizoram,City Roads,Pedestrian,4294,4119,565,Jumping Red Light,00:00-06:00,Flooded,Dark - No Street Light,Foggy,Fatal,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
840,2022,Gujarat,Surat,City Roads,Truck/Lorry,5032,4245,1347,Over Speeding,21:00-24:00,Potholed,Dusk/Dawn,Foggy,No Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
841,2019,Arunachal Pradesh,Arunachal Pradesh,Expressway,Pedestrian,9463,17696,625,Jumping Red Light,21:00-24:00,Potholed,Dark - Street Light On,Clear,Grievous Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
842,2021,Andhra Pradesh,Visakhapatnam,State Highway,Others,7306,14590,1575,Jumping Red Light,12:00-15:00,Dry,Dusk/Dawn,Clear,No Injury,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
843,2019,Bihar,Patna,Expressway,Pedestrian,11719,22323,3368,Jumping Red Light,00:00-06:00,Under Repair,Dark - No Street Light,Rainy,No Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
844,2022,Karnataka,Mysuru,National Highway,Car/Jeep/Taxi,9599,16811,1156,Wrong Side Driving,09:00-12:00,Dry,Dusk/Dawn,Rainy,No Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
845,2020,Himachal Pradesh,Himachal Pradesh,National Highway,Two-Wheeler,9184,16887,2904,Improper Lane Changing,00:00-06:00,Dry,Daylight,Cloudy,Grievous Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
846,2021,Lakshadweep,Lakshadweep,State Highway,Bus,6180,12845,472,Improper Lane Changing,21:00-24:00,Wet,Dark - No Street Light,Clear,No Injury,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
847,2020,Gujarat,Rajkot,Expressway,Bicycle,1867,1716,137,Wrong Side Driving,18:00-21:00,Dry,Dusk/Dawn,Misty,No Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
848,2022,Arunachal Pradesh,Arunachal Pradesh,Expressway,Others,7924,13468,1679,Poor Weather Visibility,09:00-12:00,Wet,Dusk/Dawn,Clear,Fatal,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
849,2021,Manipur,Manipur,National Highway,Bus,3712,7079,486,Wrong Side Driving,09:00-12:00,Dry,Dark - Street Light On,Cloudy,Grievous Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
850,2022,Mizoram,Mizoram,State Highway,Truck/Lorry,830,674,261,Vehicle Defect,18:00-21:00,Wet,Daylight,Misty,No Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
851,2023,Karnataka,Hubli,State Highway,Bicycle,2147,2854,318,Jumping Red Light,00:00-06:00,Wet,Daylight,Misty,Grievous Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
852,2023,Assam,Dibrugarh,Other Roads,Car/Jeep/Taxi,7795,10107,1259,Poor Weather Visibility,09:00-12:00,Potholed,Dark - Street Light On,Rainy,No Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
853,2021,Jharkhand,Jharkhand,Other Roads,Car/Jeep/Taxi,7257,13132,1780,Vehicle Defect,00:00-06:00,Potholed,Dark - No Street Light,Cloudy,Minor Injury,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
854,2022,Dadra & Nagar Haveli,Dadra & Nagar Haveli,City Roads,Truck/Lorry,5215,4673,1066,Fatigue/Sleep,06:00-09:00,Wet,Dusk/Dawn,Rainy,No Injury,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
855,2020,Jammu & Kashmir,Jammu,City Roads,Others,10883,18540,2177,Drunk Driving,15:00-18:00,Flooded,Daylight,Clear,Minor Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
856,2019,Punjab,Jalandhar,State Highway,Bus,7087,8209,1427,Bad Road Condition,18:00-21:00,Under Repair,Dark - Street Light On,Cloudy,Minor Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
857,2022,Gujarat,Surat,Expressway,Bicycle,19,16,2,Bad Road Condition,12:00-15:00,Flooded,Daylight,Rainy,No Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
